CODE,NAME,RATE,BASE,DECPOS
CSD,SERBIAN DNR OLD,0.01610343,USD,0
MGA,MALAGASY ARIARY,0.000543,USD,0
SRD,SURINAM DOLLAR,0.00039,USD,0
AED,U A E DIRHAM,0.272301,USD,2
AFN,AFGHANI,0.016031,USD,0
ALL,ALBANIA LEK,0.011028,USD,0
AMD,DRAM,0.00296868,USD,0
ANG,ANTILLE GUILDER,0.561798,USD,2
ARS,ARGENTIN PESO,0.316797,USD,2
ATS,AUSTRIA SHILLNG,0.07267283,EUR,0
AUD,AUSTRALIAN DLR,0.821085,USD,2
AWG,ARUBAN GUILDER,0.558659,USD,2
AZM,OLD MANAT,1.083377,USD,0
BAM,CONVERTBLE MARK,0.6966805,USD,0
BBD,BARBADOS DOLLAR,0.502513,USD,2
BDT,BANGLADESH TAKA,0.014557,USD,0
BEF,BELGIAN FRANC,0.02478935,EUR,0
BGN,BULGARIAN LEV,0.6966778,USD,2
BHD,BAHRAINI DINAR,2.65252,USD,3
BIF,BURUNDI FRANC,0.000905,USD,0
BMD,BERMUDA DOLLAR,1.010101,USD,2
BND,BRUNEI DOLLAR,0.657073,USD,0
BOB,BOLIVIANO,0.128866,USD,0
BRL,REAL,0.511587,USD,2
BSD,BAHAMIAN DOLLAR,1,USD,2
BWP,BOTSWANA PULA,0.160552,USD,2
BYR,BELARUSSIAN RUR,0.00046559,USD,0
BZD,BELIZE DOLLAR,0.510204,USD,2
CAD,CANADIAN DOLLAR,0.949758,USD,2
CDF,FRANC CONGOLAIS,0.001786,USD,2
CHF,SWISS FRANC,0.827267,USD,2
CLP,CHILEAN PESO,0.001908,USD,0
CNY,YUAN RENMINBI,0.13254,USD,0
COP,COLOMBIAN PESO,0.000462,USD,0
CRC,COSTARICA COLON,0.001925,USD,0
CUP,CUBAN PESO,1,USD,2
CVE,C. VERDE ESCUDO,0.01233,USD,0
CYP,CYPRUS POUND,2.33209,USD,2
CZK,CZECH KORUNA,0.049249,USD,0
DEM,GERMAN MARK,0.5112919,EUR,0
DJF,DJIBOUTI FRANC,0.005689,USD,0
DKK,DANISH KRONE,0.182899,USD,0
DOP,DOMINICAN PESO,0.030075,USD,0
DZD,ALGERIAN DINAR,0.014616,USD,0
EEK,ESTONIA KROON,0.087078,USD,0
EGP,EGYPTIAN POUND,0.17685,USD,2
ERN,NAFKA,0.063492,USD,2
ESP,SPANISH PESETA,0.006010121,EUR,0
ETB,ETHIOPIAN BIRR,0.110129,USD,2
EUR,EURO,1.315,USD,2
FIM,FINNISH MARKKA,0.1681879,EUR,0
FJD,FIJI DOLLAR,0.61252,USD,2
FKP,FALKLAND POUND,1.595151,USD,2
FRF,FRENCH FRANC,0.152449,EUR,0
GBP,BRITISH POUND,1.951,USD,2
GEL,LARI,0.601934,USD,2
GHC,GHANA CEDI,0.000108,USD,0
GIP,GIBRALTAR POUND,2.015316,USD,2
GMD,GAMBIAN DALASI,0.041929,USD,2
GNF,GUINEAN FRANC,0.000249,USD,0
GRD,GREEK DRACHMA,0.002934703,EUR,0
GTQ,GUA QUETZAL,0.130208,USD,2
GYD,GUYANA DOLLAR,0.004915,USD,0
HKD,HONG KONG DLR,0.128314,USD,0
HNL,HONDURA LEMPIRA,0.052924,USD,2
HRK,KUNA,0.186147,USD,2
HTG,HAITIAN GOURDE,0.02845,USD,0
HUF,HUNGARY FORINT,0.005353,USD,0
IDR,INDO RUPIAH,0.000106,USD,0
ILS,ISRAELI SHEQEL,0.241803,USD,2
INR,INDIAN RUPEE,0.02458,USD,0
IRR,IRANIAN RIAL,0.00010797,USD,0
ISK,ICELAND KRONA,0.015707,USD,0
ITL,ITALIAN LIRA,0.0005164569,EUR,0
JMD,JAMAICAN DOLLAR,0.014375,USD,0
JOD,JORDAN DINAR,1.411632,USD,3
JPY,JAPANESE YEN,0.008629,USD,0
KES,KENYAN SHILLING,0.014959,USD,0
KGS,KYRGYZ SOM,0,,2
KHR,KAMPUCHEN RIEL,0.000249,USD,0
KMF,COMORO FRANC,0.00277,USD,0
KPW,N. KOREAN WON,0.00704374,USD,0
KRW,S. KOREAN WON,0.001067,USD,0
KWD,KUWAITI DINAR,3.54811,USD,3
KYD,CAYMAN IS DLR,1.219512,USD,2
KZT,TENGE,0.00796939,USD,0
LAK,LAOTIAN KIP,0.000104,USD,0
LBP,LEBANESE POUND,0.000663,USD,0
LKR,SRI LANKA RUPEE,0.008847,USD,0
LRD,LIBERIAN DOLLAR,0.017241,USD,0
LSL,LESOTHO LOTI,0.139519,USD,0
LTL,LITAS,0.394571,USD,2
LUF,LUXEMBURG FRANC,0.02478935,EUR,0
LVL,LATVIAN LAT,1.9516,USD,2
LYD,LIBYAN DINAR,0.793877,USD,3
MAD,MOROCCAN DIRHAM,0.121597,USD,2
MDL,MOLDOVAN LEU,0.08437659,USD,2
MGF,MALAGASY FRANC,0.00011,USD,0
MKD,DENAR,0.02223599,USD,0
MMK,MYANMAR KYAT,0.155763,USD,0
MNT,MONGOLIA TUGRIK,0.000842,USD,0
MOP,MACAU PATACA,0.124409,USD,0
MRO,MR OUGUIYA,0.003876,USD,0
MTL,MALTESE LIRA,3.173596,USD,2
MUR,MAURITIUS RUPEE,0.031949,USD,0
MVR,MALDIVE RUFIYAA,0.078003,USD,0
MWK,MALAWI KWACHA,0.007147,USD,0
MXN,MEX PESOS,0.09072,USD,2
MYR,MY RINGGIT,0.285502,USD,2
MZM,MOZAM. METICAL,3.9E-5,USD,0
NAD,NAMIBIA DOLLAR,0.139499,USD,0
NGN,NIGERIAN NAIRA,0.007926,USD,0
NIO,CORDOBA ORO,0.053996,USD,0
NLG,DUTCH GUILDER,0.4537802,EUR,0
NOK,NORWAY KRONE,0.1714,USD,0
NPR,NEPALESE RUPEE,0.015198,USD,0
NZD,NEW ZEALAND DLR,0.702494,USD,2
OMR,RIAL OMANI,2.597403,USD,3
PAB,PANAMA BALBOA,1,USD,2
PEN,NUEVO SOL,0.316156,USD,2
PGK,N GUINEA  KINA,0.34626,USD,2
PHP,PHILIPPINE PESO,0.02147,USD,0
PKR,PAKISTAN RUPEE,0.01645,USD,0
PLN,ZLOTY,0.357296,USD,2
PTE,PORTUGSE ESCUDO,0.004987979,EUR,0
PYG,PY GUARANI,0.000196,USD,0
QAR,QATAR RIYAL,0.274703,USD,2
ROL,ROMANIAN LEI,3E-5,USD,0
RUB,ROUBLE,0.03897,USD,0
RWF,RWANDA FRANC,0.001825,USD,0
SAR,SAUDI RIYAL,0.266603,USD,2
SBD,SOLOMON IS DLR,0.136258,USD,2
SCR,SEYCHELLE RUPEE,0.145773,USD,0
SDD,SUDANESE DINAR,0.4987,USD,0
SEK,SWEDISH KRONA,0.144999,USD,0
SGD,SINGAPORE DLR,0.656383,USD,0
SIT,SLOVENIAN TOLAR,0.00552391,USD,0
SKK,SLOVAK KORUNA,0.04044,USD,0
SLL,SIERRA LEONE,0.000335,USD,2
SOS,SOMALI SHILLING,0.000732,USD,0
SRG,SURINAM GUILDER,0.00039,USD,0
STD,SAO TOME DOBRA,7.4E-5,USD,0
SVC,ELSALVADR COLON,0.11426,USD,2
SYP,SYRIAN POUND,0.0196116,USD,0
SZL,SZ LILANGENI,0.139519,USD,0
THB,THAILAND BAHT,0.03098,USD,0
TJR,TAJIK RUBLE,0,,2
TMM,MANAT,0,,2
TND,TUNISIAN DINAR,0.78064,USD,3
TOP,TONGA PA ANGA,0.495712,USD,2
TRL,TURKISH LIRA,6.9E-7,USD,0
TTD,TRINIDAD DOLLAR,0.158303,USD,2
TWD,NEW TAIWAN DLR,0.0303,USD,0
TZS,TANZANA SHILLNG,0.000784,USD,0
UAH,HRYVNIA,0.199362,USD,2
UGX,UGANDA SHILLING,0.000564,USD,0
USD,U.S. DOLLAR,0,,2
UYU,PESO URUGUAYO,0.042409,USD,0
UZS,SUM,0.000787,USD,0
VEB,VENEZ. BOLIVAR,0.000466,USD,0
VND,VIETNAM DONG,6.2E-5,USD,0
VUV,VANUATU VATU,0.009851,USD,0
WST,W. SAMOAN TALA,0.379853,USD,2
XAF,CFA FRANC,0.002078,USD,0
XCD,E CARIBBEAN DLR,0.374532,USD,2
XOF,CFA FRANC,0.002078,USD,0
XPF,PACIFIC FRANC,0.0113462,USD,0
YER,YEMINI RIYAL,0.005031,USD,0
YYY,FICTITIOUS DLR,1,USD,0
ZAR,S.AFRICA RAND,0.1392,USD,0
ZMK,ZAMBIAN KWACHA,0.000247,USD,0
ZWD,ZIMBABWE DOLLAR,0.004,USD,0
TRY,N TURKISH LIRA,0.7677092,USD,2
AFR,CFA FRANC,0,,0
ARI,SAUDI RIYAL,0,,0
BHT,THAILAND BAHT,0,,0
DYD,S YEMENI DINAR,0,,0
ECD,E CARIBBEAN DLR,0,,0
FFR,FRENCH FRANC,0,,0
FRR,RWANDA FRANC,0,,0
GUA,PY GUARANI,0,,0
LEI,ROMANIAN LEI,0,,0
LIT,ITALIAN LIRA,0,,0
NTD,NEW TAIWAN DLR,0,,0
NUP,URUGUAYAN PESO,0,,0
PFR,PACIFIC FRANC,0,,0
PLZ,POLISH ZLOTY,4.1E-5,USD,0
QRI,QATAR RIYAL,0,,0
ROU,USSR ROUBLE,0,,0
SAC,ELSALVADR COLON,0,,0
SAT,W. SAMOAN TALA,0,,0
SDP,SUDANESE POUND,0,,0
SER,SEYCHELLE RUPEE,0,,0
SFL,SURINAM GUILDER,0,,0
SID,SINGAPORE DLR,0,,0
SLE,SIERRA LEONE,0,,0
SOM,SOMALI SHILLING,0,,0
SUL,SUDANESE POUND,0,,0
SUR,USSR ROUBLE,0,,0
SYL,SYRIAN POUND,0,,0
TAS,TANZANA SHILLNG,0,,0
TUD,TUNISIAN DINAR,0,,0
TUL,TURKISH LIRA,0,,0
UGS,UGANDA SHILLING,0,,0
UKL,BRITISH POUND,0,,0
UYP,URUGUAYAN PESO,0,,0
VBO,VENEZ. BOLIVAR,0,,0
VDN,VIETNAM DONG,0,,0
YDD,S YEMENI DINAR,0,,0
YEM,YEMENI RIYAL,0,,0
YUD,YUGOSLAV DINAR,0,,0
YUN,NEW YUGO DINAR,0,,0
ZAI,ZAIRE REP ZAIRE,0,,0
ZRZ,ZAIRE REP ZAIRE,0,,0
RON,N.ROMANIAN LEU,0.417362,USD,2
AZN,NEW MANAT,1.17011,USD,2
GHS,GHANA CEDI,1.087,USD,2
ZWN,N ZIMBABWE DLR,0,,0
MZN,MOZAM. METICAL,0.03867,USD,0
RSD,SERBIAN DINAR,0.01708543,USD,0
SDG,SUDANESE POUND,0.498405,USD,0
TJS,SOMONI,0.290697,USD,2
