KEY,DIFFER_GMT,DIFFER_SIGN,REL_COUNTRY_CODE,TZ_GROUP,DAYLIGHT_SAVINGS,ED1,DD1,ED2,DD2
PL089,4,P,PL,089,4,25/03/2007,27/10/2007,30/03/2008,25/10/2008
PM090,12,N,PM,090,4,11/03/2007,03/11/2007,09/03/2008,01/11/2008
PR,16,N,PR,,0,,,,
PS190,8,P,PS,190,4,30/03/2007,26/09/2007,28/03/2008,25/09/2008
PT092,0,P,PT,092,4,25/03/2007,27/10/2007,30/03/2008,25/10/2008
PT158,4,N,PT,158,4,25/03/2007,27/10/2007,30/03/2008,25/10/2008
PW,36,P,PW,,0,,,,
PY093,16,N,PY,093,4,21/10/2007,08/03/2008,19/10/2008,07/03/2009
QA,12,P,QA,,0,,,,
RE,16,P,RE,,0,,,,
RO094,8,P,RO,094,4,25/03/2007,27/10/2007,30/03/2008,25/10/2008
RS189,4,P,RS,189,4,25/03/2007,27/10/2007,30/03/2008,25/10/2008
RU130,12,P,RU,130,4,25/03/2007,27/10/2007,30/03/2008,25/10/2008
RU140,16,P,RU,140,4,25/03/2007,27/10/2007,30/03/2008,25/10/2008
RU141,20,P,RU,141,4,25/03/2007,27/10/2007,30/03/2008,25/10/2008
RU142,24,P,RU,142,4,25/03/2007,27/10/2007,30/03/2008,25/10/2008
RU143,28,P,RU,143,4,25/03/2007,27/10/2007,30/03/2008,25/10/2008
RU144,32,P,RU,144,4,25/03/2007,27/10/2007,30/03/2008,25/10/2008
RU145,36,P,RU,145,4,25/03/2007,27/10/2007,30/03/2008,25/10/2008
RU146,40,P,RU,146,4,25/03/2007,27/10/2007,30/03/2008,25/10/2008
RU147,44,P,RU,147,4,25/03/2007,27/10/2007,30/03/2008,25/10/2008
RU148,48,P,RU,148,4,25/03/2007,27/10/2007,30/03/2008,25/10/2008
RU160,8,P,RU,160,4,25/03/2007,27/10/2007,30/03/2008,25/10/2008
RW,8,P,RW,,0,,,,
SA,12,P,SA,,0,,,,
SB,44,P,SB,,0,,,,
SC,16,P,SC,,0,,,,
SD,12,P,SD,,0,,,,
SD172,12,P,SD,172,0,,,,
SE095,4,P,SE,095,4,25/03/2007,27/10/2007,30/03/2008,25/10/2008
SG,32,P,SG,,0,,,,
SH,0,P,SH,,0,,,,
SI153,4,P,SI,153,4,25/03/2007,27/10/2007,30/03/2008,25/10/2008
SK156,4,P,SK,156,4,25/03/2007,27/10/2007,30/03/2008,25/10/2008
SL,0,P,SL,,0,,,,
SM096,4,P,SM,096,4,25/03/2007,27/10/2007,30/03/2008,25/10/2008
SN,0,P,SN,,0,,,,
SO,12,P,SO,,0,,,,
SR,12,N,SR,,0,,,,
ST,0,P,ST,,0,,,,
SV,24,N,SV,,0,,,,
SY098,8,P,SY,098,4,30/03/2007,30/09/2007,01/04/2008,30/09/2008
SZ,8,P,SZ,,0,,,,
TC099,20,N,TC,099,4,11/03/2007,03/11/2007,09/03/2008,01/11/2008
TD,4,P,TD,,0,,,,
TG,0,P,TG,,0,,,,
TH,28,P,TH,,0,,,,
TJ136,20,P,TJ,136,0,,,,
TL,36,P,TL,,0,,,,
TM137,20,P,TM,137,0,,,,
TN100,4,P,TN,100,4,25/03/2007,27/10/2007,30/03/2008,25/10/2008
TO173,52,P,TO,173,0,,,,
TR101,8,P,TR,101,4,25/03/2007,27/10/2007,30/03/2008,25/10/2008
TT,16,N,TT,,0,,,,
TV,48,P,TV,,0,,,,
TW,32,P,TW,,0,,,,
TZ,12,P,TZ,,0,,,,
UA127,8,P,UA,127,4,25/03/2007,27/10/2007,30/03/2008,25/10/2008
UG,12,P,UG,,0,,,,
UM102,40,N,UM,102,0,,,,
UM103,44,N,UM,103,0,,,,
UM104,48,P,UM,104,0,,,,
US105,20,N,US,105,4,11/03/2007,03/11/2007,09/03/2008,01/11/2008
US107,24,N,US,107,4,11/03/2007,03/11/2007,09/03/2008,01/11/2008
US108,28,N,US,108,4,11/03/2007,03/11/2007,09/03/2008,01/11/2008
US109,28,N,US,109,0,,,,
US110,32,N,US,110,4,11/03/2007,03/11/2007,09/03/2008,01/11/2008
US111,36,N,US,111,4,11/03/2007,03/11/2007,09/03/2008,01/11/2008
US112,40,N,US,112,4,11/03/2007,03/11/2007,09/03/2008,01/11/2008
US113,40,N,US,113,0,,,,
UY114,12,N,UY,114,4,07/10/2007,08/03/2008,05/10/2008,07/03/2009
UZ138,20,P,UZ,138,0,,,,
VC,16,N,VC,,0,,,,
VE,16,N,VE,,0,,,,
VG,16,N,VG,,0,,,,
VI,16,N,VI,,0,,,,
VN,28,P,VN,,0,,,,
VU115,44,P,VU,115,0,,,,
WF,48,P,WF,,0,,,,
WS,44,N,WS,,0,,,,
YE,12,P,YE,,0,,,,
YT,12,P,YT,,0,,,,
ZA,8,P,ZA,,0,,,,
ZM,8,P,ZM,,0,,,,
ZW,8,P,ZW,,0,,,,
ZZ,0,P,ZZ,,0,,,,
AD001,4,P,AD,001,4,25/03/2007,27/10/2007,30/03/2008,25/10/2008
AE,16,P,AE,,0,,,,
AF,18,P,AF,,0,,,,
AG,16,N,AG,,0,,,,
AI,16,N,AI,,0,,,,
AL002,4,P,AL,002,4,25/03/2007,27/10/2007,30/03/2008,25/10/2008
AM151,16,P,AM,151,4,25/03/2007,27/10/2007,30/03/2008,25/10/2008
AN,16,N,AN,,0,,,,
AO,4,P,AO,,0,,,,
AQ,0,P,AQ,,0,,,,
AR003,12,N,AR,003,0,,,,
AS,44,N,AS,,0,,,,
AT005,4,P,AT,005,4,25/03/2007,27/10/2007,30/03/2008,25/10/2008
AU006,42,P,AU,006,2,28/10/2007,29/03/2008,26/10/2008,28/03/2009
AU007,40,P,AU,007,4,28/10/2007,29/03/2008,26/10/2008,28/03/2009
AU008,40,P,AU,008,4,07/10/2007,29/03/2008,05/10/2008,28/03/2009
AU009,38,P,AU,009,4,28/10/2007,29/03/2008,26/10/2008,28/03/2009
AU010,38,P,AU,010,0,,,,
AU011,32,P,AU,011,4,28/10/2007,29/03/2008,26/10/2008,28/03/2009
AU131,40,P,AU,131,4,,,,
AW,16,N,AW,,0,,,,
AZ150,16,P,AZ,150,4,25/03/2007,27/10/2007,30/03/2008,25/10/2008
BA154,4,P,BA,154,4,25/03/2007,27/10/2007,30/03/2008,25/10/2008
BB,16,N,BB,,0,,,,
BD,24,P,BD,,0,,,,
BE012,4,P,BE,012,4,25/03/2007,27/10/2007,30/03/2008,25/10/2008
BF,0,P,BF,,0,,,,
BG013,8,P,BG,013,4,25/03/2007,27/10/2007,30/03/2008,25/10/2008
BH,12,P,BH,,0,,,,
BI,8,P,BI,,0,,,,
BJ,4,P,BJ,,0,,,,
BM014,16,N,BM,014,4,11/03/2007,03/11/2007,09/03/2008,01/11/2008
BN,32,P,BN,,0,,,,
BO,16,N,BO,,0,,,,
BR015,12,N,BR,015,4,21/10/2007,16/02/2008,19/10/2008,14/02/2009
BR016,12,N,BR,016,0,,,,
BR017,16,N,BR,017,4,21/10/2007,16/02/2008,19/10/2008,14/02/2009
BR018,16,N,BR,018,0,,,,
BR019,20,N,BR,019,0,,,,
BR020,8,N,BR,020,0,,,,
BS021,20,N,BS,021,4,11/03/2007,03/11/2007,09/03/2008,01/11/2008
BT,24,P,BT,,0,,,,
BW,8,P,BW,,0,,,,
BY129,8,P,BY,129,4,25/03/2007,27/10/2007,30/03/2008,25/10/2008
BZ,24,N,BZ,,0,,,,
CA022,14,N,CA,022,4,11/03/2007,03/11/2007,09/03/2008,01/11/2008
CA023,16,N,CA,023,4,11/03/2007,03/11/2007,09/03/2008,01/11/2008
CA024,16,N,CA,024,0,,,,
CA025,20,N,CA,025,4,11/03/2007,03/11/2007,09/03/2008,01/11/2008
CA026,20,N,CA,026,0,,,,
CA027,24,N,CA,027,4,11/03/2007,03/11/2007,09/03/2008,01/11/2008
CA028,24,N,CA,028,0,,,,
CA029,28,N,CA,029,4,11/03/2007,03/11/2007,09/03/2008,01/11/2008
CA030,28,N,CA,030,0,,,,
CA031,32,N,CA,031,4,11/03/2007,03/11/2007,09/03/2008,01/11/2008
CC,26,P,CC,,0,,,,
CD166,4,P,CD,166,0,,,,
CD167,8,P,CD,167,0,,,,
CF,4,P,CF,,0,,,,
CG,4,P,CG,,0,,,,
CH032,4,P,CH,032,4,25/03/2007,27/10/2007,30/03/2008,25/10/2008
CI,0,P,CI,,0,,,,
CK,40,N,CK,,0,,,,
CL033,16,N,CL,033,4,14/10/2007,08/03/2008,12/10/2008,14/03/2009
CL034,24,N,CL,034,4,14/10/2007,08/03/2008,12/10/2008,14/03/2009
CM,4,P,CM,,0,,,,
CN035,32,P,CN,035,0,,,,
CO132,20,N,CO,132,0,,,,
CR036,24,N,CR,036,0,,,,
CU038,20,N,CU,038,4,11/03/2007,27/10/2007,09/03/2008,25/10/2008
CV,4,N,CV,,0,,,,
CX,28,P,CX,,0,,,,
CY039,8,P,CY,039,4,25/03/2007,27/10/2007,30/03/2008,25/10/2008
CZ037,4,P,CZ,037,4,25/03/2007,27/10/2007,30/03/2008,25/10/2008
DE040,4,P,DE,040,4,25/03/2007,27/10/2007,30/03/2008,25/10/2008
DJ,12,P,DJ,,0,,,,
DK041,4,P,DK,041,4,25/03/2007,27/10/2007,30/03/2008,25/10/2008
DM,16,N,DM,,0,,,,
DO174,16,N,DO,174,0,,,,
DZ,4,P,DZ,,0,,,,
EC042,20,N,EC,042,4,,,,
EC043,24,N,EC,043,4,,,,
EE124,8,P,EE,124,4,25/03/2007,27/10/2007,30/03/2008,25/10/2008
EG044,8,P,EG,044,4,27/04/2007,06/09/2007,25/04/2008,25/09/2008
ER157,12,P,ER,157,0,,,,
ES045,4,P,ES,045,4,25/03/2007,27/10/2007,30/03/2008,25/10/2008
ES046,0,P,ES,046,4,25/03/2007,27/10/2007,30/03/2008,25/10/2008
ET,12,P,ET,,0,,,,
FI047,8,P,FI,047,4,25/03/2007,27/10/2007,30/03/2008,25/10/2008
FJ169,48,P,FJ,169,0,,,,
FK048,16,N,FK,048,4,02/09/2007,19/04/2008,07/09/2008,18/04/2009
FM049,40,P,FM,049,0,,,,
FM050,44,P,FM,050,0,,,,
FO051,0,P,FO,051,4,25/03/2007,27/10/2007,30/03/2008,25/10/2008
FR052,4,P,FR,052,4,25/03/2007,27/10/2007,30/03/2008,25/10/2008
GA,4,P,GA,,0,,,,
GB053,0,P,GB,053,4,25/03/2007,27/10/2007,30/03/2008,25/10/2008
GD,16,N,GD,,0,,,,
GE170,16,P,GE,170,0,27/03/2005,29/10/2005,26/03/2006,28/10/2006
GF,12,N,GF,,0,,,,
GH,0,P,GH,,0,,,,
GI054,4,P,GI,054,4,25/03/2007,27/10/2007,30/03/2008,25/10/2008
GL055,12,N,GL,055,4,25/03/2007,27/10/2007,30/03/2008,25/10/2008
GL056,16,N,GL,056,4,01/04/2007,27/10/2007,06/04/2008,25/10/2008
GL057,4,N,GL,057,4,25/03/2007,27/10/2007,30/03/2008,25/10/2008
GM,0,P,GM,,0,,,,
GN,0,P,GN,,0,,,,
GP,16,N,GP,,0,,,,
GQ,4,P,GQ,,0,,,,
GR058,8,P,GR,058,4,25/03/2007,27/10/2007,30/03/2008,25/10/2008
GT119,24,N,GT,119,4,30/04/2006,30/09/2006,,
GU,40,P,GU,,0,,,,
GW,0,P,GW,,0,,,,
GY,16,N,GY,,0,,,,
HK,32,P,HK,,0,,,,
HN,24,N,HN,,4,07/05/2006,06/08/2006,,
HR152,4,P,HR,152,4,25/03/2007,27/10/2007,30/03/2008,25/10/2008
HT059,20,N,HT,059,0,01/04/2007,27/10/2007,06/04/2008,25/10/2008
HU060,4,P,HU,060,4,25/03/2007,27/10/2007,30/03/2008,25/10/2008
ID061,28,P,ID,061,0,,,,
ID062,32,P,ID,062,0,,,,
ID063,36,P,ID,063,0,,,,
IE064,0,P,IE,064,4,25/03/2007,27/10/2007,30/03/2008,25/10/2008
IL065,8,P,IL,065,4,30/03/2007,15/09/2007,28/03/2008,13/09/2008
IN,22,P,IN,,0,,,,
IQ066,12,P,IQ,066,4,01/04/2007,30/09/2007,01/04/2008,30/09/2008
IR120,14,P,IR,120,0,22/03/2006,21/09/2006,22/03/2007,21/09/2007
IS,0,P,IS,,0,,,,
IT067,4,P,IT,067,4,25/03/2007,27/10/2007,30/03/2008,25/10/2008
JM,20,N,JM,,0,,,,
JO068,8,P,JO,068,4,30/03/2007,25/10/2007,28/03/2008,30/10/2008
JP,36,P,JP,,0,,,,
KE,12,P,KE,,0,,,,
KG134,24,P,KG,134,0,26/03/2006,28/10/2006,25/03/2007,27/10/2007
KH,28,P,KH,,0,,,,
KI069,48,P,KI,069,0,,,,
KI070,56,P,KI,070,0,,,,
KI071,52,P,KI,071,0,,,,
KM,12,P,KM,,0,,,,
KN,16,N,KN,,0,,,,
KP,36,P,KP,,0,,,,
KR,36,P,KR,,0,,,,
KW,12,P,KW,,0,,,,
KY,20,N,KY,,0,,,,
KZ133,24,P,KZ,133,0,21/03/2005,22/03/2005,26/03/2006,28/10/2006
KZ162,20,P,KZ,162,0,21/03/2005,22/03/2005,26/03/2006,28/10/2006
KZ164,24,P,KZ,164,0,21/03/2005,22/03/2005,26/03/2006,28/10/2006
LA,28,P,LA,,0,,,,
LB072,8,P,LB,072,4,25/03/2007,27/10/2007,30/03/2008,25/10/2008
LC,16,N,LC,,0,,,,
LI091,4,P,LI,091,4,25/03/2007,27/10/2007,30/03/2008,25/10/2008
LK187,22,P,LK,187,0,,,,
LR,0,P,LR,,0,,,,
LS,8,P,LS,,0,,,,
LT125,8,P,LT,125,4,25/03/2007,27/10/2007,30/03/2008,25/10/2008
LU073,4,P,LU,073,4,25/03/2007,27/10/2007,30/03/2008,25/10/2008
LV126,8,P,LV,126,4,25/03/2007,27/10/2007,30/03/2008,25/10/2008
LY122,8,P,LY,122,0,,,,
MA,0,P,MA,,0,,,,
MC074,4,P,MC,074,4,25/03/2007,27/10/2007,30/03/2008,25/10/2008
MD135,8,P,MD,135,4,25/03/2007,28/10/2007,30/03/2008,26/10/2008
ME188,4,P,ME,188,4,25/03/2007,27/10/2007,30/03/2008,25/10/2008
MG,12,P,MG,,0,,,,
MH075,48,P,MH,075,0,,,,
MH076,48,P,MH,076,0,,,,
MK159,4,P,MK,159,4,25/03/2007,27/10/2007,30/03/2008,25/10/2008
ML,0,P,ML,,0,,,,
MM,26,P,MM,,0,,,,
MN175,32,P,MN,175,0,,,,
MO,32,P,MO,,0,,,,
MP,40,P,MP,,0,,,,
MQ,16,N,MQ,,0,,,,
MR,0,P,MR,,0,,,,
MS,16,N,MS,,0,,,,
MT078,4,P,MT,078,4,25/03/2007,27/10/2007,30/03/2008,25/10/2008
MU,16,P,MU,,0,,,,
MV,20,P,MV,,0,,,,
MW,8,P,MW,,0,,,,
MX079,28,N,MX,079,4,01/04/2007,27/10/2007,06/04/2008,25/10/2008
MX080,32,N,MX,080,4,01/04/2007,27/10/2007,06/04/2008,25/10/2008
MX097,28,N,MX,097,0,,,,
MX168,24,N,MX,168,4,01/04/2007,27/10/2007,06/04/2008,25/10/2008
MY,32,P,MY,,0,,,,
MZ,8,P,MZ,,0,,,,
NA004,4,P,NA,004,4,02/09/2007,05/04/2008,07/09/2008,04/04/2009
NC165,44,P,NC,165,0,,,,
NE,4,P,NE,,0,,,,
NF,46,P,NF,,0,,,,
NG,4,P,NG,,0,,,,
NI193,24,N,NI,193,4,30/04/2006,30/09/2006,,
NL082,4,P,NL,082,4,25/03/2007,27/10/2007,30/03/2008,25/10/2008
NO083,4,P,NO,083,4,25/03/2007,27/10/2007,30/03/2008,25/10/2008
NP,23,P,NP,,0,,,,
NR,48,P,NR,,0,,,,
NU,44,N,NU,,0,,,,
NZ084,48,P,NZ,084,4,07/10/2007,15/03/2008,05/10/2008,14/03/2009
NZ085,51,P,NZ,085,4,07/10/2007,15/03/2008,05/10/2008,14/03/2009
OM,16,P,OM,,0,,,,
PA,20,N,PA,,0,,,,
PE155,20,N,PE,155,0,,,,
PF086,38,N,PF,086,0,,,,
PF087,40,N,PF,087,0,,,,
PF088,36,N,PF,088,0,,,,
PG,40,P,PG,,0,,,,
PH,32,P,PH,,0,,,,
PK163,20,P,PK,163,0,,,,
